Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1461,20,3,80,11622,1,2,3,0,0,0,0,12,1,2,0,0,5,6,1961,1961,1,1,14,14,3,0,2,2,1,2,2,3,3,468,4,144,270,882,1,2,1,0,896,0,0,896,0,0,1,0,2,1,2,5,0,0,5,1,1961,2,1,730,2,2,0,140,0,0,0,120,0,4,1,5,0,6,2010,0,0
1462,20,4,81,14267,1,2,2,0,0,1,0,12,2,2,0,0,6,6,1958,1958,3,1,15,15,1,108,2,2,1,2,2,3,1,923,5,0,406,1329,1,2,1,0,1329,0,0,1329,0,0,1,1,3,1,1,6,0,0,5,1,1958,2,1,312,2,2,0,393,36,0,0,0,0,4,4,1,12500,6,2010,0,0
1463,60,4,74,13830,1,2,2,0,0,0,0,8,2,2,0,3,5,5,1997,1998,1,1,14,14,3,0,2,2,2,1,2,3,0,791,5,0,137,928,1,1,1,0,928,701,0,1629,0,0,2,1,3,1,2,6,0,1,2,1,1997,0,2,482,2,2,0,212,34,0,0,0,0,4,1,5,0,3,2010,0,0
1464,60,4,78,9978,1,2,2,0,0,0,0,8,2,2,0,3,6,6,1998,1998,1,1,14,14,1,20,2,2,2,2,2,3,0,602,5,0,324,926,1,0,1,0,926,678,0,1604,0,0,2,1,3,1,1,7,0,1,1,1,1998,0,2,470,2,2,0,360,36,0,0,0,0,4,4,5,0,6,2010,0,0
1465,120,4,43,5005,1,2,2,2,0,0,0,22,2,2,4,0,8,5,1992,1992,1,1,6,6,3,0,1,2,2,1,2,3,1,263,5,0,1017,1280,1,0,1,0,1280,0,0,1280,0,0,2,0,2,1,1,5,0,0,5,1,1992,1,2,506,2,2,0,0,82,0,0,144,0,4,4,5,0,1,2010,0,0
1466,60,4,75,10000,1,2,2,0,0,1,0,8,2,2,0,3,6,5,1993,1994,1,1,6,6,3,0,2,2,2,1,2,3,5,0,5,0,763,763,1,1,1,0,763,892,0,1655,0,0,2,1,3,1,2,7,0,1,2,1,1993,0,2,440,2,2,0,157,84,0,0,0,0,4,4,5,0,4,2010,0,0
1467,20,4,0,7980,1,2,2,0,0,0,0,8,2,2,0,0,6,7,1992,2007,1,1,6,6,3,0,2,1,2,1,2,3,1,935,5,0,233,1168,1,0,1,0,1187,0,0,1187,1,0,2,0,3,1,2,6,0,0,5,1,1992,0,2,420,2,2,0,483,21,0,0,0,0,4,0,3,500,3,2010,0,0
1468,60,4,63,8402,1,2,2,0,0,0,0,8,2,2,0,3,6,5,1998,1998,1,1,14,14,3,0,2,2,2,1,2,3,5,0,5,0,789,789,1,1,1,0,789,676,0,1465,0,0,2,1,3,1,2,7,0,1,1,1,1998,0,2,393,2,2,0,0,75,0,0,0,0,4,4,5,0,5,2010,0,0
1469,20,4,85,10176,1,2,3,0,0,0,0,8,2,2,0,0,7,5,1990,1990,1,1,6,6,3,0,2,2,2,1,2,0,0,637,5,0,663,1300,1,1,1,0,1341,0,0,1341,1,0,1,1,2,1,1,5,0,1,4,1,1990,2,2,506,2,2,0,192,0,0,0,0,0,4,4,5,0,2,2010,0,0
1470,20,4,70,8400,1,2,3,0,0,1,0,12,2,2,0,0,4,5,1970,1970,1,1,10,10,3,0,2,2,1,2,2,3,1,804,3,78,0,882,1,2,1,0,882,0,0,882,1,0,1,0,2,1,2,4,0,0,5,1,1970,0,2,525,2,2,0,240,0,0,0,0,0,4,1,5,0,4,2010,0,0
